,C1_OBJ_NM,C2_NM,DT,C2,C1,C1_NM,UNIT_NM,ITM_ID,TBL_ID,ITM_NM,C2_OBJ_NM,TBL_NM
0,특성별,취업자(일을 한다),34.5,B01,A01,전체,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
1,특성별,취업자(일을 한다),34.6,B01,A01,전체,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
2,특성별,취업자(일을 한다),35.8,B01,A01,전체,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
3,특성별,향후 구직의사 있음(학생 구직자 등),5,B0201,A01,전체,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
4,특성별,향후 구직의사 있음(학생 구직자 등),2.8,B0201,A01,전체,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
5,특성별,향후 구직의사 있음(학생 구직자 등),4.7,B0201,A01,전체,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
6,특성별,향후 구직의사 없음(연로자 구직단념자 등),60.5,B0202,A01,전체,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
7,특성별,향후 구직의사 없음(연로자 구직단념자 등),62.5,B0202,A01,전체,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
8,특성별,향후 구직의사 없음(연로자 구직단념자 등),59.5,B0202,A01,전체,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
9,특성별,취업자(일을 한다),39.3,B01,A0201,남성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
10,특성별,취업자(일을 한다),40.8,B01,A0201,남성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
11,특성별,취업자(일을 한다),41.6,B01,A0201,남성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
12,특성별,향후 구직의사 있음(학생 구직자 등),5.4,B0201,A0201,남성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
13,특성별,향후 구직의사 있음(학생 구직자 등),3.2,B0201,A0201,남성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
14,특성별,향후 구직의사 있음(학생 구직자 등),5,B0201,A0201,남성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
15,특성별,향후 구직의사 없음(연로자 구직단념자 등),55.3,B0202,A0201,남성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
16,특성별,향후 구직의사 없음(연로자 구직단념자 등),56.1,B0202,A0201,남성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
17,특성별,향후 구직의사 없음(연로자 구직단념자 등),53.3,B0202,A0201,남성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
18,특성별,취업자(일을 한다),17.6,B01,A0202,여성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
19,특성별,취업자(일을 한다),15.3,B01,A0202,여성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
20,특성별,취업자(일을 한다),19.1,B01,A0202,여성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
21,특성별,향후 구직의사 있음(학생 구직자 등),3.3,B0201,A0202,여성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
22,특성별,향후 구직의사 있음(학생 구직자 등),1.7,B0201,A0202,여성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
23,특성별,향후 구직의사 있음(학생 구직자 등),3.6,B0201,A0202,여성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
24,특성별,향후 구직의사 없음(연로자 구직단념자 등),79.1,B0202,A0202,여성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
25,특성별,향후 구직의사 없음(연로자 구직단념자 등),83,B0202,A0202,여성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
26,특성별,향후 구직의사 없음(연로자 구직단념자 등),77.3,B0202,A0202,여성,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
27,특성별,취업자(일을 한다),83.8,B01,A0301,30대 이하,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
28,특성별,취업자(일을 한다),82.7,B01,A0301,30대 이하,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
29,특성별,취업자(일을 한다),86.2,B01,A0301,30대 이하,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
30,특성별,향후 구직의사 있음(학생 구직자 등),12,B0201,A0301,30대 이하,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
31,특성별,향후 구직의사 있음(학생 구직자 등),10,B0201,A0301,30대 이하,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
32,특성별,향후 구직의사 있음(학생 구직자 등),10.6,B0201,A0301,30대 이하,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
33,특성별,향후 구직의사 없음(연로자 구직단념자 등),4.2,B0202,A0301,30대 이하,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
34,특성별,향후 구직의사 없음(연로자 구직단념자 등),7.3,B0202,A0301,30대 이하,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
35,특성별,향후 구직의사 없음(연로자 구직단념자 등),3.2,B0202,A0301,30대 이하,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
36,특성별,취업자(일을 한다),86.3,B01,A0302,40대,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
37,특성별,취업자(일을 한다),90.4,B01,A0302,40대,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
38,특성별,취업자(일을 한다),90.3,B01,A0302,40대,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
39,특성별,향후 구직의사 있음(학생 구직자 등),7.2,B0201,A0302,40대,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
40,특성별,향후 구직의사 있음(학생 구직자 등),5.2,B0201,A0302,40대,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
41,특성별,향후 구직의사 있음(학생 구직자 등),5.6,B0201,A0302,40대,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
42,특성별,향후 구직의사 없음(연로자 구직단념자 등),6.6,B0202,A0302,40대,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
43,특성별,향후 구직의사 없음(연로자 구직단념자 등),4.4,B0202,A0302,40대,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
44,특성별,향후 구직의사 없음(연로자 구직단념자 등),4.1,B0202,A0302,40대,%,T001,DT_109006_J001,경제활동 참여 상태,참여상태별,경제활동 참여 상태
