,C1_OBJ_NM,C2_NM,DT,C2,C1,C1_NM,UNIT_NM,ITM_ID,TBL_ID,ITM_NM,C2_OBJ_NM,TBL_NM
0,특성별,매우 그렇다,25.9,B01,A01,전체,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
1,특성별,그렇다,37.1,B02,A01,전체,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
2,특성별,보통이다,22.6,B03,A01,전체,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
3,특성별,그렇지 않다,9,B04,A01,전체,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
4,특성별,전혀 그렇지 않다,5.5,B05,A01,전체,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
5,특성별,매우 그렇다,28.4,B01,A0201,남성,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
6,특성별,그렇다,37.4,B02,A0201,남성,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
7,특성별,보통이다,20,B03,A0201,남성,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
8,특성별,그렇지 않다,8.9,B04,A0201,남성,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
9,특성별,전혀 그렇지 않다,5.3,B05,A0201,남성,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
10,특성별,매우 그렇다,17.1,B01,A0202,여성,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
11,특성별,그렇다,35.7,B02,A0202,여성,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
12,특성별,보통이다,31.9,B03,A0202,여성,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
13,특성별,그렇지 않다,9,B04,A0202,여성,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
14,특성별,전혀 그렇지 않다,6.2,B05,A0202,여성,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
15,특성별,매우 그렇다,16.4,B01,A0301,40대 이하,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
16,특성별,그렇다,29.6,B02,A0301,40대 이하,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
17,특성별,보통이다,31.9,B03,A0301,40대 이하,%,T001,DT_109006_M001,국가보훈대상자로서의 자긍심 정도,자긍심정도별,국가보훈대상자로서의 자긍심 정도
