,C1_OBJ_NM,DT,C1_NM,UNIT_NM,ITM_NM,TBL_NM
0,특성별,221.3,전체,만원,최소 생활비,노후생활 월평균 생활비
1,특성별,273.1,전체,만원,적정 생활비,노후생활 월평균 생활비
2,특성별,174.8,전체,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
3,특성별,238.5,남성,만원,최소 생활비,노후생활 월평균 생활비
4,특성별,294.1,남성,만원,적정 생활비,노후생활 월평균 생활비
5,특성별,187.9,남성,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
6,특성별,172.1,여성,만원,최소 생활비,노후생활 월평균 생활비
7,특성별,213.2,여성,만원,적정 생활비,노후생활 월평균 생활비
8,특성별,137.4,여성,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
9,특성별,291.8,49세 이하,만원,최소 생활비,노후생활 월평균 생활비
10,특성별,358.7,49세 이하,만원,적정 생활비,노후생활 월평균 생활비
11,특성별,167.9,49세 이하,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
12,특성별,295.5,50세~59세,만원,최소 생활비,노후생활 월평균 생활비
13,특성별,363.2,50세~59세,만원,적정 생활비,노후생활 월평균 생활비
14,특성별,220.1,50세~59세,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
15,특성별,265.8,60세~64세,만원,최소 생활비,노후생활 월평균 생활비
16,특성별,325.1,60세~64세,만원,적정 생활비,노후생활 월평균 생활비
17,특성별,204.3,60세~64세,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
18,특성별,227,65세~74세,만원,최소 생활비,노후생활 월평균 생활비
19,특성별,278.7,65세~74세,만원,적정 생활비,노후생활 월평균 생활비
20,특성별,189.7,65세~74세,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
21,특성별,185.4,75세 이상,만원,최소 생활비,노후생활 월평균 생활비
22,특성별,230.6,75세 이상,만원,적정 생활비,노후생활 월평균 생활비
23,특성별,157.9,75세 이상,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
24,특성별,201.3,독립유공자,만원,최소 생활비,노후생활 월평균 생활비
25,특성별,247.8,독립유공자,만원,적정 생활비,노후생활 월평균 생활비
26,특성별,176,독립유공자,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
27,특성별,255.7,국가유공자(본인),만원,최소 생활비,노후생활 월평균 생활비
28,특성별,312.9,국가유공자(본인),만원,적정 생활비,노후생활 월평균 생활비
29,특성별,225.8,국가유공자(본인),만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
30,특성별,193.8,국가유공자(유족),만원,최소 생활비,노후생활 월평균 생활비
31,특성별,240.1,국가유공자(유족),만원,적정 생활비,노후생활 월평균 생활비
32,특성별,145.9,국가유공자(유족),만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
33,특성별,225.2,5·18민주유공자,만원,최소 생활비,노후생활 월평균 생활비
34,특성별,261.3,5·18민주유공자,만원,적정 생활비,노후생활 월평균 생활비
35,특성별,129.4,5·18민주유공자,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
36,특성별,184.6,참전유공자,만원,최소 생활비,노후생활 월평균 생활비
37,특성별,233.9,참전유공자,만원,적정 생활비,노후생활 월평균 생활비
38,특성별,145.2,참전유공자,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
39,특성별,197.4,고엽제,만원,최소 생활비,노후생활 월평균 생활비
40,특성별,244.1,고엽제,만원,적정 생활비,노후생활 월평균 생활비
41,특성별,166.7,고엽제,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
42,특성별,238.7,특수임무유공자,만원,최소 생활비,노후생활 월평균 생활비
43,특성별,286.4,특수임무유공자,만원,적정 생활비,노후생활 월평균 생활비
44,특성별,139.2,특수임무유공자,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
45,특성별,292.9,제대군인,만원,최소 생활비,노후생활 월평균 생활비
46,특성별,357.5,제대군인,만원,적정 생활비,노후생활 월평균 생활비
47,특성별,210.2,제대군인,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
48,특성별,255.8,보훈보상대상자,만원,최소 생활비,노후생활 월평균 생활비
49,특성별,308.3,보훈보상대상자,만원,적정 생활비,노후생활 월평균 생활비
50,특성별,169.1,보훈보상대상자,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
