,C1_OBJ_NM,C2_NM,DT,C2,C1,C1_NM,UNIT_NM,ITM_ID,TBL_ID,ITM_NM,C2_OBJ_NM,TBL_NM
0,특성별,전체(경상소득),2460,B01,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
1,특성별,전체(경상소득),2927.6,B01,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
2,특성별,전체(경상소득),3021,B01,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
3,특성별,근로소득,692,B02,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
4,특성별,근로소득,789,B02,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
5,특성별,근로소득,896,B02,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
6,특성별,사업소득,278,B03,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
7,특성별,사업소득,349.7,B03,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
8,특성별,사업소득,258,B03,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
9,특성별,재산소득,137,B04,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
10,특성별,재산소득,142.2,B04,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
11,특성별,재산소득,172,B04,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
12,특성별,사적이전소득,100,B05,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
13,특성별,사적이전소득,94.3,B05,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
14,특성별,사적이전소득,106,B05,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
15,특성별,공적이전소득,1252,B06,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
16,특성별,공적이전소득,1552.5,B06,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
17,특성별,공적이전소득,1588,B06,A01,전체,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
18,특성별,전체(경상소득),2714,B01,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
19,특성별,전체(경상소득),3265.3,B01,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
20,특성별,전체(경상소득),3359,B01,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
21,특성별,근로소득,825,B02,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
22,특성별,근로소득,973.3,B02,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
23,특성별,근로소득,1109,B02,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
24,특성별,사업소득,342,B03,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
25,특성별,사업소득,441.7,B03,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
26,특성별,사업소득,309,B03,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
27,특성별,재산소득,157,B04,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
28,특성별,재산소득,159.3,B04,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
29,특성별,재산소득,174,B04,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
30,특성별,사적이전소득,92,B05,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
31,특성별,사적이전소득,82.9,B05,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
32,특성별,사적이전소득,97,B05,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
33,특성별,공적이전소득,1298,B06,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
34,특성별,공적이전소득,1608.1,B06,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
35,특성별,공적이전소득,1670,B06,A0201,남성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
36,특성별,전체(경상소득),1555,B01,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
37,특성별,전체(경상소득),1857.8,B01,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
38,특성별,전체(경상소득),2053,B01,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
39,특성별,근로소득,221,B02,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
40,특성별,근로소득,205.1,B02,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
41,특성별,근로소득,287,B02,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
42,특성별,사업소득,52,B03,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
43,특성별,사업소득,58.4,B03,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
44,특성별,사업소득,114,B03,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
45,특성별,재산소득,66,B04,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
46,특성별,재산소득,87.8,B04,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
47,특성별,재산소득,165,B04,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
48,특성별,사적이전소득,129,B05,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
49,특성별,사적이전소득,130.3,B05,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
50,특성별,사적이전소득,132,B05,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
51,특성별,공적이전소득,1088,B06,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
52,특성별,공적이전소득,1376.1,B06,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
53,특성별,공적이전소득,1356,B06,A0202,여성,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
54,특성별,전체(경상소득),4145,B01,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
55,특성별,전체(경상소득),4640.9,B01,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
56,특성별,전체(경상소득),4532,B01,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
57,특성별,근로소득,2939,B02,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
58,특성별,근로소득,3282.5,B02,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
59,특성별,근로소득,3445,B02,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
60,특성별,사업소득,478,B03,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
61,특성별,사업소득,725.9,B03,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
62,특성별,사업소득,517,B03,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
63,특성별,재산소득,38,B04,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
64,특성별,재산소득,43,B04,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
65,특성별,재산소득,63,B04,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
66,특성별,사적이전소득,50,B05,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
67,특성별,사적이전소득,22.7,B05,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
68,특성별,사적이전소득,28,B05,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
69,특성별,공적이전소득,640,B06,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
70,특성별,공적이전소득,567,B06,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
71,특성별,공적이전소득,480,B06,A0301,40대 이하,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
72,특성별,전체(경상소득),4687,B01,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
73,특성별,전체(경상소득),4946.4,B01,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
74,특성별,전체(경상소득),5151,B01,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
75,특성별,근로소득,2460,B02,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
76,특성별,근로소득,2676.4,B02,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
77,특성별,근로소득,2986,B02,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
78,특성별,사업소득,697,B03,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
79,특성별,사업소득,671.8,B03,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
80,특성별,사업소득,651,B03,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
81,특성별,재산소득,147,B04,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
82,특성별,재산소득,84.2,B04,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
83,특성별,재산소득,173,B04,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
84,특성별,사적이전소득,23,B05,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
85,특성별,사적이전소득,34.7,B05,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
86,특성별,사적이전소득,26,B05,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
87,특성별,공적이전소득,1359,B06,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
88,특성별,공적이전소득,1479.2,B06,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
89,특성별,공적이전소득,1314,B06,A0302,50대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
90,특성별,전체(경상소득),3009,B01,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
91,특성별,전체(경상소득),3604.8,B01,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
92,특성별,전체(경상소득),3530,B01,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
93,특성별,근로소득,723,B02,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
94,특성별,근로소득,936.5,B02,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
95,특성별,근로소득,1076,B02,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
96,특성별,사업소득,426,B03,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
97,특성별,사업소득,470.3,B03,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
98,특성별,사업소득,386,B03,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
99,특성별,재산소득,159,B04,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
100,특성별,재산소득,182.9,B04,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
101,특성별,재산소득,175,B04,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
102,특성별,사적이전소득,59,B05,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
103,특성별,사적이전소득,64,B05,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
104,특성별,사적이전소득,92,B05,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
105,특성별,공적이전소득,1641,B06,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
106,특성별,공적이전소득,1951.1,B06,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
107,특성별,공적이전소득,1801,B06,A0303,60대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
108,특성별,전체(경상소득),2115,B01,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
109,특성별,전체(경상소득),2555.7,B01,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
110,특성별,전체(경상소득),2585,B01,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
111,특성별,근로소득,236,B02,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
112,특성별,근로소득,232,B02,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
113,특성별,근로소득,229,B02,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
114,특성별,사업소득,264,B03,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
115,특성별,사업소득,350.9,B03,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
116,특성별,사업소득,172,B03,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
117,특성별,재산소득,161,B04,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
118,특성별,재산소득,174.1,B04,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
119,특성별,재산소득,209,B04,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
120,특성별,사적이전소득,82,B05,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
121,특성별,사적이전소득,91.6,B05,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
122,특성별,사적이전소득,120,B05,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
123,특성별,공적이전소득,1373,B06,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
124,특성별,공적이전소득,1707.2,B06,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
125,특성별,공적이전소득,1855,B06,A0304,70대,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
126,특성별,전체(경상소득),1359,B01,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
127,특성별,전체(경상소득),1816.6,B01,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
128,특성별,전체(경상소득),2028,B01,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
129,특성별,근로소득,35,B02,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
130,특성별,근로소득,46.4,B02,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
131,특성별,근로소득,39,B02,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
132,특성별,사업소득,18,B03,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
133,특성별,사업소득,37.1,B03,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
134,특성별,사업소득,69,B03,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
135,특성별,재산소득,121,B04,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
136,특성별,재산소득,122.2,B04,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
137,특성별,재산소득,161,B04,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
138,특성별,사적이전소득,186,B05,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
139,특성별,사적이전소득,161.7,B05,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
140,특성별,사적이전소득,153,B05,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
141,특성별,공적이전소득,1000,B06,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
142,특성별,공적이전소득,1449.2,B06,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
143,특성별,공적이전소득,1607,B06,A0305,80대 이상,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
144,특성별,전체(경상소득),2622,B01,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
145,특성별,전체(경상소득),2770.1,B01,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
146,특성별,전체(경상소득),2576,B01,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
147,특성별,근로소득,473,B02,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
148,특성별,근로소득,356.3,B02,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
149,특성별,근로소득,278,B02,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
150,특성별,사업소득,99,B03,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
151,특성별,사업소득,166.2,B03,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
152,특성별,사업소득,159,B03,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
153,특성별,재산소득,408,B04,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
154,특성별,재산소득,117,B04,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
155,특성별,재산소득,139,B04,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
156,특성별,사적이전소득,112,B05,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
157,특성별,사적이전소득,111.3,B05,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
158,특성별,사적이전소득,115,B05,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
159,특성별,공적이전소득,1530,B06,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
160,특성별,공적이전소득,2019.4,B06,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
161,특성별,공적이전소득,1884,B06,A0401,독립유공자,만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
162,특성별,전체(경상소득),4253,B01,A0402,국가유공자(본인),만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
163,특성별,전체(경상소득),3809.4,B01,A0402,국가유공자(본인),만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
164,특성별,전체(경상소득),3884,B01,A0402,국가유공자(본인),만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
165,특성별,근로소득,1634,B02,A0402,국가유공자(본인),만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
166,특성별,근로소득,929.3,B02,A0402,국가유공자(본인),만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
167,특성별,근로소득,958,B02,A0402,국가유공자(본인),만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
168,특성별,사업소득,484,B03,A0402,국가유공자(본인),만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
169,특성별,사업소득,261.5,B03,A0402,국가유공자(본인),만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
170,특성별,사업소득,206,B03,A0402,국가유공자(본인),만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
171,특성별,재산소득,164,B04,A0402,국가유공자(본인),만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
172,특성별,재산소득,126.8,B04,A0402,국가유공자(본인),만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
173,특성별,재산소득,229,B04,A0402,국가유공자(본인),만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
174,특성별,사적이전소득,57,B05,A0402,국가유공자(본인),만원,T001,DT_109006_D003,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
