,C1_OBJ_NM,C2_NM,DT,C1_NM,UNIT_NM,ITM_NM,C2_OBJ_NM,TBL_NM
0,특성별,전체(경상소득),2460,전체,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
1,특성별,근로소득,692,전체,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
2,특성별,사업소득,278,전체,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
3,특성별,재산소득,137,전체,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
4,특성별,사적이전소득,100,전체,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
5,특성별,공적이전소득,1252,전체,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
6,특성별,전체(경상소득),2714,남성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
7,특성별,근로소득,825,남성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
8,특성별,사업소득,342,남성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
9,특성별,재산소득,157,남성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
10,특성별,사적이전소득,92,남성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
11,특성별,공적이전소득,1298,남성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
12,특성별,전체(경상소득),1555,여성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
13,특성별,근로소득,221,여성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
14,특성별,사업소득,52,여성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
15,특성별,재산소득,66,여성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
16,특성별,사적이전소득,129,여성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
17,특성별,공적이전소득,1088,여성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
18,특성별,전체(경상소득),4145,40대 이하,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
19,특성별,근로소득,2939,40대 이하,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
20,특성별,사업소득,478,40대 이하,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
21,특성별,재산소득,38,40대 이하,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
22,특성별,사적이전소득,50,40대 이하,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
