C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
특성별,전체(경상소득),2460,B01,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,전체,만원,109,소득별
특성별,전체(경상소득),2927.6,B01,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,전체,만원,109,소득별
특성별,전체(경상소득),3021,B01,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-07-17,전체,만원,109,소득별
특성별,근로소득,692,B02,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,전체,만원,109,소득별
특성별,근로소득,789,B02,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,전체,만원,109,소득별
특성별,근로소득,896,B02,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-07-17,전체,만원,109,소득별
특성별,사업소득,278,B03,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,전체,만원,109,소득별
특성별,사업소득,349.7,B03,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,전체,만원,109,소득별
특성별,사업소득,258,B03,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-07-17,전체,만원,109,소득별
특성별,재산소득,137,B04,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,전체,만원,109,소득별
특성별,재산소득,142.2,B04,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,전체,만원,109,소득별
특성별,재산소득,172,B04,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-07-17,전체,만원,109,소득별
특성별,사적이전소득,100,B05,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,전체,만원,109,소득별
특성별,사적이전소득,94.3,B05,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,전체,만원,109,소득별
특성별,사적이전소득,106,B05,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-07-17,전체,만원,109,소득별
특성별,공적이전소득,1252,B06,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,전체,만원,109,소득별
특성별,공적이전소득,1552.5,B06,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,전체,만원,109,소득별
특성별,공적이전소득,1588,B06,A01,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-07-17,전체,만원,109,소득별
특성별,전체(경상소득),2714,B01,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,남성,만원,109,소득별
특성별,전체(경상소득),3265.3,B01,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,남성,만원,109,소득별
특성별,전체(경상소득),3359,B01,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-06-26,남성,만원,109,소득별
특성별,근로소득,825,B02,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,남성,만원,109,소득별
특성별,근로소득,973.3,B02,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,남성,만원,109,소득별
특성별,근로소득,1109,B02,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-07-17,남성,만원,109,소득별
특성별,사업소득,342,B03,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,남성,만원,109,소득별
특성별,사업소득,441.7,B03,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,남성,만원,109,소득별
특성별,사업소득,309,B03,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-06-26,남성,만원,109,소득별
특성별,재산소득,157,B04,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,남성,만원,109,소득별
특성별,재산소득,159.3,B04,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,남성,만원,109,소득별
특성별,재산소득,174,B04,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-06-26,남성,만원,109,소득별
특성별,사적이전소득,92,B05,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,남성,만원,109,소득별
특성별,사적이전소득,82.9,B05,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,남성,만원,109,소득별
특성별,사적이전소득,97,B05,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-07-17,남성,만원,109,소득별
특성별,공적이전소득,1298,B06,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,남성,만원,109,소득별
특성별,공적이전소득,1608.1,B06,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,남성,만원,109,소득별
특성별,공적이전소득,1670,B06,A0201,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-07-17,남성,만원,109,소득별
특성별,전체(경상소득),1555,B01,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,여성,만원,109,소득별
특성별,전체(경상소득),1857.8,B01,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,여성,만원,109,소득별
특성별,전체(경상소득),2053,B01,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-07-17,여성,만원,109,소득별
특성별,근로소득,221,B02,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,여성,만원,109,소득별
특성별,근로소득,205.1,B02,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,여성,만원,109,소득별
특성별,근로소득,287,B02,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-07-17,여성,만원,109,소득별
특성별,사업소득,52,B03,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,여성,만원,109,소득별
특성별,사업소득,58.4,B03,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,여성,만원,109,소득별
특성별,사업소득,114,B03,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-07-17,여성,만원,109,소득별
특성별,재산소득,66,B04,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,여성,만원,109,소득별
특성별,재산소득,87.8,B04,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,여성,만원,109,소득별
특성별,재산소득,165,B04,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-07-17,여성,만원,109,소득별
특성별,사적이전소득,129,B05,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2018,2019-08-02,여성,만원,109,소득별
특성별,사적이전소득,130.3,B05,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2021,2022-07-13,여성,만원,109,소득별
특성별,사적이전소득,132,B05,A0202,A,10000Won,T001,DT_109006_D003,보훈대상자 평균 개인소득,보훈대상자 평균 개인소득,2024,2025-07-17,여성,만원,109,소득별
