C1_NM,C2_NM,DT,연도
전체,전체(경상소득),2460.0,2018
전체,근로소득,692.0,2018
전체,사업소득,278.0,2018
전체,재산소득,137.0,2018
전체,사적이전소득,100.0,2018
전체,공적이전소득,1252.0,2018
남성,전체(경상소득),2714.0,2018
남성,근로소득,825.0,2018
남성,사업소득,342.0,2018
남성,재산소득,157.0,2018
남성,사적이전소득,92.0,2018
남성,공적이전소득,1298.0,2018
여성,전체(경상소득),1555.0,2018
여성,근로소득,221.0,2018
여성,사업소득,52.0,2018
여성,재산소득,66.0,2018
여성,사적이전소득,129.0,2018
여성,공적이전소득,1088.0,2018
40대 이하,전체(경상소득),4145.0,2018
40대 이하,근로소득,2939.0,2018
40대 이하,사업소득,478.0,2018
40대 이하,재산소득,38.0,2018
40대 이하,사적이전소득,50.0,2018
40대 이하,공적이전소득,640.0,2018
50대,전체(경상소득),4687.0,2018
50대,근로소득,2460.0,2018
50대,사업소득,697.0,2018
50대,재산소득,147.0,2018
50대,사적이전소득,23.0,2018
50대,공적이전소득,1359.0,2018
60대,전체(경상소득),3009.0,2018
60대,근로소득,723.0,2018
60대,사업소득,426.0,2018
60대,재산소득,159.0,2018
60대,사적이전소득,59.0,2018
60대,공적이전소득,1641.0,2018
70대,전체(경상소득),2115.0,2018
70대,근로소득,236.0,2018
70대,사업소득,264.0,2018
70대,재산소득,161.0,2018
70대,사적이전소득,82.0,2018
70대,공적이전소득,1373.0,2018
80대 이상,전체(경상소득),1359.0,2018
80대 이상,근로소득,35.0,2018
80대 이상,사업소득,18.0,2018
80대 이상,재산소득,121.0,2018
80대 이상,사적이전소득,186.0,2018
80대 이상,공적이전소득,1000.0,2018
독립유공자,전체(경상소득),2622.0,2018
독립유공자,근로소득,473.0,2018
독립유공자,사업소득,99.0,2018
독립유공자,재산소득,408.0,2018
독립유공자,사적이전소득,112.0,2018
독립유공자,공적이전소득,1530.0,2018
국가유공자(본인),전체(경상소득),4253.0,2018
국가유공자(본인),근로소득,1634.0,2018
국가유공자(본인),사업소득,484.0,2018
국가유공자(본인),재산소득,164.0,2018
국가유공자(본인),사적이전소득,57.0,2018
국가유공자(본인),공적이전소득,1914.0,2018
국가유공자(유족),전체(경상소득),2026.0,2018
국가유공자(유족),근로소득,521.0,2018
국가유공자(유족),사업소득,249.0,2018
국가유공자(유족),재산소득,108.0,2018
국가유공자(유족),사적이전소득,103.0,2018
국가유공자(유족),공적이전소득,1044.0,2018
5·18민주유공자,전체(경상소득),3066.0,2018
5·18민주유공자,근로소득,1713.0,2018
5·18민주유공자,사업소득,732.0,2018
5·18민주유공자,재산소득,176.0,2018
5·18민주유공자,사적이전소득,85.0,2018
5·18민주유공자,공적이전소득,360.0,2018
참전유공자,전체(경상소득),1838.0,2018
참전유공자,근로소득,205.0,2018
참전유공자,사업소득,227.0,2018
참전유공자,재산소득,153.0,2018
참전유공자,사적이전소득,120.0,2018
참전유공자,공적이전소득,1133.0,2018
고엽제,전체(경상소득),2301.0,2018
고엽제,근로소득,216.0,2018
고엽제,사업소득,214.0,2018
고엽제,재산소득,105.0,2018
고엽제,사적이전소득,76.0,2018
고엽제,공적이전소득,1690.0,2018
특수임무유공자,전체(경상소득),3274.0,2018
특수임무유공자,근로소득,2076.0,2018
특수임무유공자,사업소득,368.0,2018
특수임무유공자,재산소득,126.0,2018
특수임무유공자,사적이전소득,84.0,2018
특수임무유공자,공적이전소득,620.0,2018
제대군인,전체(경상소득),4606.0,2018
제대군인,근로소득,2304.0,2018
제대군인,사업소득,370.0,2018
제대군인,재산소득,95.0,2018
제대군인,사적이전소득,47.0,2018
제대군인,공적이전소득,1789.0,2018
보훈보상대상자,전체(경상소득),3066.0,2018
보훈보상대상자,근로소득,1476.0,2018
보훈보상대상자,사업소득,405.0,2018
보훈보상대상자,재산소득,39.0,2018
보훈보상대상자,사적이전소득,54.0,2018
보훈보상대상자,공적이전소득,1092.0,2018
전체,전체(경상소득),2927.6,2021
전체,근로소득,789.0,2021
전체,사업소득,349.7,2021
전체,재산소득,142.2,2021
전체,사적이전소득,94.3,2021
전체,공적이전소득,1552.5,2021
남성,전체(경상소득),3265.3,2021
남성,근로소득,973.3,2021
남성,사업소득,441.7,2021
남성,재산소득,159.3,2021
남성,사적이전소득,82.9,2021
남성,공적이전소득,1608.1,2021
여성,전체(경상소득),1857.8,2021
여성,근로소득,205.1,2021
여성,사업소득,58.4,2021
여성,재산소득,87.8,2021
여성,사적이전소득,130.3,2021
여성,공적이전소득,1376.1,2021
40대 이하,전체(경상소득),4640.9,2021
40대 이하,근로소득,3282.5,2021
40대 이하,사업소득,725.9,2021
40대 이하,재산소득,43.0,2021
40대 이하,사적이전소득,22.7,2021
40대 이하,공적이전소득,567.0,2021
50대,전체(경상소득),4946.4,2021
50대,근로소득,2676.4,2021
50대,사업소득,671.8,2021
50대,재산소득,84.2,2021
50대,사적이전소득,34.7,2021
50대,공적이전소득,1479.2,2021
60대,전체(경상소득),3604.8,2021
60대,근로소득,936.5,2021
60대,사업소득,470.3,2021
60대,재산소득,182.9,2021
60대,사적이전소득,64.0,2021
60대,공적이전소득,1951.1,2021
70대,전체(경상소득),2555.7,2021
70대,근로소득,232.0,2021
70대,사업소득,350.9,2021
70대,재산소득,174.1,2021
70대,사적이전소득,91.6,2021
70대,공적이전소득,1707.2,2021
80대 이상,전체(경상소득),1816.6,2021
80대 이상,근로소득,46.4,2021
80대 이상,사업소득,37.1,2021
80대 이상,재산소득,122.2,2021
80대 이상,사적이전소득,161.7,2021
80대 이상,공적이전소득,1449.2,2021
독립유공자,전체(경상소득),2770.1,2021
독립유공자,근로소득,356.3,2021
독립유공자,사업소득,166.2,2021
독립유공자,재산소득,117.0,2021
독립유공자,사적이전소득,111.3,2021
독립유공자,공적이전소득,2019.4,2021
국가유공자(본인),전체(경상소득),3809.4,2021
국가유공자(본인),근로소득,929.3,2021
국가유공자(본인),사업소득,261.5,2021
국가유공자(본인),재산소득,126.8,2021
국가유공자(본인),사적이전소득,62.1,2021
국가유공자(본인),공적이전소득,2429.9,2021
국가유공자(유족),전체(경상소득),2351.7,2021
국가유공자(유족),근로소득,538.0,2021
국가유공자(유족),사업소득,313.7,2021
국가유공자(유족),재산소득,120.6,2021
국가유공자(유족),사적이전소득,104.9,2021
국가유공자(유족),공적이전소득,1274.4,2021
5·18민주유공자,전체(경상소득),2780.3,2021
5·18민주유공자,근로소득,1323.6,2021
5·18민주유공자,사업소득,568.2,2021
5·18민주유공자,재산소득,127.0,2021
5·18민주유공자,사적이전소득,103.6,2021
5·18민주유공자,공적이전소득,657.9,2021
참전유공자,전체(경상소득),2149.4,2021
참전유공자,근로소득,233.6,2021
참전유공자,사업소득,414.2,2021
참전유공자,재산소득,196.9,2021
참전유공자,사적이전소득,140.6,2021
참전유공자,공적이전소득,1164.1,2021
고엽제,전체(경상소득),2188.8,2021
고엽제,근로소득,202.8,2021
고엽제,사업소득,162.4,2021
고엽제,재산소득,165.3,2021
고엽제,사적이전소득,94.7,2021
고엽제,공적이전소득,1563.7,2021
특수임무유공자,전체(경상소득),3137.3,2021
특수임무유공자,근로소득,1885.9,2021
특수임무유공자,사업소득,634.3,2021
특수임무유공자,재산소득,66.0,2021
특수임무유공자,사적이전소득,82.5,2021
특수임무유공자,공적이전소득,468.7,2021
제대군인,전체(경상소득),4776.9,2021
제대군인,근로소득,2726.9,2021
제대군인,사업소득,603.4,2021
제대군인,재산소득,121.7,2021
제대군인,사적이전소득,32.1,2021
제대군인,공적이전소득,1293.0,2021
보훈보상대상자,전체(경상소득),3734.3,2021
보훈보상대상자,근로소득,1814.9,2021
보훈보상대상자,사업소득,552.0,2021
보훈보상대상자,재산소득,126.1,2021
보훈보상대상자,사적이전소득,50.1,2021
보훈보상대상자,공적이전소득,1191.2,2021
전체,전체(경상소득),3021.0,2024
전체,근로소득,896.0,2024
전체,사업소득,258.0,2024
전체,재산소득,172.0,2024
전체,사적이전소득,106.0,2024
전체,공적이전소득,1588.0,2024
남성,전체(경상소득),3359.0,2024
남성,근로소득,1109.0,2024
남성,사업소득,309.0,2024
남성,재산소득,174.0,2024
남성,사적이전소득,97.0,2024
남성,공적이전소득,1670.0,2024
여성,전체(경상소득),2053.0,2024
여성,근로소득,287.0,2024
여성,사업소득,114.0,2024
여성,재산소득,165.0,2024
여성,사적이전소득,132.0,2024
여성,공적이전소득,1356.0,2024
40대 이하,전체(경상소득),4532.0,2024
40대 이하,근로소득,3445.0,2024
40대 이하,사업소득,517.0,2024
40대 이하,재산소득,63.0,2024
40대 이하,사적이전소득,28.0,2024
40대 이하,공적이전소득,480.0,2024
50대,전체(경상소득),5151.0,2024
50대,근로소득,2986.0,2024
50대,사업소득,651.0,2024
