,C1_OBJ_NM,DT,C2,C1,TBL_ID,C2_OBJ_NM,TBL_NM
0,특성별,81.2,B01,A01,DT_109006_J006,이유별,일을 하는 이유
1,특성별,5.7,B02,A01,DT_109006_J006,이유별,일을 하는 이유
2,특성별,3,B03,A01,DT_109006_J006,이유별,일을 하는 이유
3,특성별,1.3,B04,A01,DT_109006_J006,이유별,일을 하는 이유
4,특성별,2.1,B05,A01,DT_109006_J006,이유별,일을 하는 이유
5,특성별,2.7,B06,A01,DT_109006_J006,이유별,일을 하는 이유
6,특성별,3.5,B07,A01,DT_109006_J006,이유별,일을 하는 이유
7,특성별,0.6,B08,A01,DT_109006_J006,이유별,일을 하는 이유
8,특성별,81.3,B01,A0201,DT_109006_J006,이유별,일을 하는 이유
9,특성별,5.4,B02,A0201,DT_109006_J006,이유별,일을 하는 이유
10,특성별,3.3,B03,A0201,DT_109006_J006,이유별,일을 하는 이유
11,특성별,1.4,B04,A0201,DT_109006_J006,이유별,일을 하는 이유
12,특성별,2.2,B05,A0201,DT_109006_J006,이유별,일을 하는 이유
13,특성별,2.8,B06,A0201,DT_109006_J006,이유별,일을 하는 이유
14,특성별,3.3,B07,A0201,DT_109006_J006,이유별,일을 하는 이유
15,특성별,0.5,B08,A0201,DT_109006_J006,이유별,일을 하는 이유
16,특성별,80.7,B01,A0202,DT_109006_J006,이유별,일을 하는 이유
17,특성별,8.3,B02,A0202,DT_109006_J006,이유별,일을 하는 이유
18,특성별,0.8,B03,A0202,DT_109006_J006,이유별,일을 하는 이유
19,특성별,0.1,B04,A0202,DT_109006_J006,이유별,일을 하는 이유
20,특성별,1.5,B05,A0202,DT_109006_J006,이유별,일을 하는 이유
21,특성별,1.9,B06,A0202,DT_109006_J006,이유별,일을 하는 이유
22,특성별,5.3,B07,A0202,DT_109006_J006,이유별,일을 하는 이유
23,특성별,1.4,B08,A0202,DT_109006_J006,이유별,일을 하는 이유
24,특성별,86.9,B01,A0301,DT_109006_J006,이유별,일을 하는 이유
25,특성별,2.1,B02,A0301,DT_109006_J006,이유별,일을 하는 이유
