,유공자 구분,지원 항목,알고 있음,모르고 있음
0,국가유공자(본인),교육지원,63.9,36.1
1,국가유공자(본인),대부지원,58.3,41.7
2,국가유공자(본인),보철구지원,49.1,50.9
3,국가유공자(본인),보훈급여금,96.8,3.2
4,국가유공자(본인),사망시지원,97.3,2.7
5,국가유공자(본인),수송시설 지원,65.8,34.2
6,국가유공자(본인),양로보호,60.6,39.4
7,국가유공자(본인),예우지원,56.9,43.1
8,국가유공자(본인),의료지원,97.3,2.7
9,국가유공자(본인),이용료 감면,18.0,82.0
10,국가유공자(본인),재가복지서비스,45.2,54.8
11,국가유공자(본인),취업지원,58.4,41.6
12,국가유공자(본인),휴양시설이용,50.2,49.8
13,국가유공자(유족),교육지원,42.0,58.0
14,국가유공자(유족),대부지원,33.6,66.4
15,국가유공자(유족),보철구지원,22.2,77.8
16,국가유공자(유족),보훈급여금,90.9,9.1
17,국가유공자(유족),사망시지원,74.6,25.4
18,국가유공자(유족),수송시설 지원,36.7,63.3
19,국가유공자(유족),양로보호,42.5,57.5
20,국가유공자(유족),예우지원,32.7,67.3
21,국가유공자(유족),의료지원,85.4,14.6
22,국가유공자(유족),이용료 감면,42.3,57.7
23,국가유공자(유족),재가복지서비스,27.3,72.7
24,국가유공자(유족),취업지원,33.8,66.2
25,국가유공자(유족),휴양시설이용,25.6,74.4
26,참전유공자,교육지원,35.8,64.2
27,참전유공자,대부지원,27.7,72.3
28,참전유공자,보철구지원,27.6,72.4
29,참전유공자,보훈급여금,99.6,0.4
30,참전유공자,사망시지원,96.5,3.5
31,참전유공자,수송시설 지원,43.5,56.5
32,참전유공자,양로보호,48.3,51.7
33,참전유공자,예우지원,46.5,53.5
34,참전유공자,의료지원,95.1,4.9
35,참전유공자,이용료 감면,31.7,68.3
36,참전유공자,재가복지서비스,34.0,66.0
37,참전유공자,취업지원,29.1,70.9
38,참전유공자,휴양시설이용,29.5,70.5
39,고엽제,교육지원,54.9,45.1
40,고엽제,대부지원,38.7,61.3
41,고엽제,보철구지원,40.9,59.1
42,고엽제,보훈급여금,99.9,0.1
43,고엽제,사망시지원,96.3,3.7
44,고엽제,수송시설 지원,53.5,46.5
45,고엽제,양로보호,55.7,44.3
46,고엽제,예우지원,49.0,51.0
47,고엽제,의료지원,97.9,2.1
48,고엽제,이용료 감면,25.4,74.6
49,고엽제,재가복지서비스,40.1,59.9
50,고엽제,취업지원,44.6,55.4
51,고엽제,휴양시설이용,37.3,62.7
52,특수임무유공자,교육지원,52.9,47.1
53,특수임무유공자,대부지원,50.8,49.2
54,특수임무유공자,보철구지원,29.0,71.0
55,특수임무유공자,보훈급여금,81.4,18.6
56,특수임무유공자,사망시지원,62.0,38.0
57,특수임무유공자,수송시설 지원,38.9,61.1
58,특수임무유공자,양로보호,45.7,54.3
59,특수임무유공자,예우지원,39.6,60.4
60,특수임무유공자,의료지원,77.5,22.5
61,특수임무유공자,이용료 감면,36.7,63.3
62,특수임무유공자,재가복지서비스,29.7,70.3
63,특수임무유공자,취업지원,51.6,48.4
64,특수임무유공자,휴양시설이용,40.0,60.0
