C1_NM,C2_NM,DT,연도
국가유공자(본인),매우 불만족,7.7,2018
국가유공자(본인),불만족,30.1,2018
국가유공자(본인),보통,37.7,2018
국가유공자(본인),만족,20.2,2018
국가유공자(본인),매우 만족,4.3,2018
국가유공자(유족),매우 불만족,13.6,2018
국가유공자(유족),불만족,29.8,2018
국가유공자(유족),보통,40.0,2018
국가유공자(유족),만족,14.9,2018
국가유공자(유족),매우 만족,1.7,2018
참전유공자,매우 불만족,11.2,2018
참전유공자,불만족,37.1,2018
참전유공자,보통,33.6,2018
참전유공자,만족,16.4,2018
참전유공자,매우 만족,1.7,2018
고엽제,매우 불만족,5.4,2018
고엽제,불만족,34.5,2018
고엽제,보통,37.9,2018
고엽제,만족,17.8,2018
고엽제,매우 만족,4.4,2018
특수임무유공자,매우 불만족,27.5,2018
특수임무유공자,불만족,36.8,2018
특수임무유공자,보통,24.6,2018
특수임무유공자,만족,9.4,2018
특수임무유공자,매우 만족,1.6,2018
