C1_NM,C2_NM,DT,연도
국가유공자(본인),국가보훈대상자에 걸맞은 적절한 대우를 받지 못해서,62.1,2021
국가유공자(본인),보훈대상자에 대한 예우시책이 다양하지 않고 실효성이 없어서,17.4,2021
국가유공자(본인),일반 국민들이 보훈대상자에 대한 관심과 이해 부족,6.1,2021
국가유공자(본인),사회적 분위가가 보훈대상자에 대한 존경 미흡,13.7,2021
국가유공자(본인),기타,0.7,2021
국가유공자(유족),국가보훈대상자에 걸맞은 적절한 대우를 받지 못해서,67.3,2021
국가유공자(유족),보훈대상자에 대한 예우시책이 다양하지 않고 실효성이 없어서,18.6,2021
국가유공자(유족),일반 국민들이 보훈대상자에 대한 관심과 이해 부족,6.1,2021
국가유공자(유족),사회적 분위가가 보훈대상자에 대한 존경 미흡,6.3,2021
국가유공자(유족),기타,1.7,2021
참전유공자,국가보훈대상자에 걸맞은 적절한 대우를 받지 못해서,74.7,2021
참전유공자,보훈대상자에 대한 예우시책이 다양하지 않고 실효성이 없어서,15.1,2021
참전유공자,일반 국민들이 보훈대상자에 대한 관심과 이해 부족,2.8,2021
참전유공자,사회적 분위가가 보훈대상자에 대한 존경 미흡,6.7,2021
참전유공자,기타,0.7,2021
고엽제,국가보훈대상자에 걸맞은 적절한 대우를 받지 못해서,65.1,2021
고엽제,보훈대상자에 대한 예우시책이 다양하지 않고 실효성이 없어서,17.0,2021
고엽제,일반 국민들이 보훈대상자에 대한 관심과 이해 부족,6.8,2021
고엽제,사회적 분위가가 보훈대상자에 대한 존경 미흡,11.0,2021
고엽제,기타,0.0,2021
특수임무유공자,국가보훈대상자에 걸맞은 적절한 대우를 받지 못해서,72.3,2021
특수임무유공자,보훈대상자에 대한 예우시책이 다양하지 않고 실효성이 없어서,21.2,2021
특수임무유공자,일반 국민들이 보훈대상자에 대한 관심과 이해 부족,0.0,2021
특수임무유공자,사회적 분위가가 보훈대상자에 대한 존경 미흡,6.5,2021
특수임무유공자,기타,0.0,2021
