C1_NM,C2_NM,DT,연도
국가유공자(본인),매우 불만족,2.3,2024
국가유공자(본인),불만족,19.0,2024
국가유공자(본인),보통,47.3,2024
국가유공자(본인),만족,30.3,2024
국가유공자(본인),매우 만족,1.2,2024
국가유공자(유족),매우 불만족,3.3,2024
국가유공자(유족),불만족,20.7,2024
국가유공자(유족),보통,53.7,2024
국가유공자(유족),만족,21.3,2024
국가유공자(유족),매우 만족,0.9,2024
참전유공자,매우 불만족,3.4,2024
참전유공자,불만족,27.1,2024
참전유공자,보통,50.2,2024
참전유공자,만족,18.7,2024
참전유공자,매우 만족,0.5,2024
고엽제,매우 불만족,3.4,2024
고엽제,불만족,24.5,2024
고엽제,보통,48.2,2024
고엽제,만족,23.6,2024
고엽제,매우 만족,0.2,2024
특수임무유공자,매우 불만족,8.5,2024
특수임무유공자,불만족,37.1,2024
특수임무유공자,보통,44.8,2024
특수임무유공자,만족,8.9,2024
특수임무유공자,매우 만족,0.7,2024
