C1_NM,C2_NM,DT,연도
국가유공자(본인),현행 지원 범위의 미흡,40.5,2018
국가유공자(본인),국가보훈부의 정책적 기능의 한계,12.1,2018
국가유공자(본인),각종 교육 홍보 상담 여건 미비,4.3,2018
국가유공자(본인),현행 지원수준의 미흡,42.6,2018
국가유공자(본인),기타,0.4,2018
국가유공자(유족),현행 지원 범위의 미흡,42.6,2018
국가유공자(유족),국가보훈부의 정책적 기능의 한계,8.3,2018
국가유공자(유족),각종 교육 홍보 상담 여건 미비,5.5,2018
국가유공자(유족),현행 지원수준의 미흡,43.6,2018
국가유공자(유족),기타,0,2018
참전유공자,현행 지원 범위의 미흡,39.4,2018
참전유공자,국가보훈부의 정책적 기능의 한계,7.5,2018
참전유공자,각종 교육 홍보 상담 여건 미비,2.7,2018
참전유공자,현행 지원수준의 미흡,50.3,2018
참전유공자,기타,0,2018
고엽제,현행 지원 범위의 미흡,36.7,2018
고엽제,국가보훈부의 정책적 기능의 한계,11.5,2018
고엽제,각종 교육 홍보 상담 여건 미비,5,2018
고엽제,현행 지원수준의 미흡,46.7,2018
고엽제,기타,0,2018
특수임무유공자,현행 지원 범위의 미흡,44.8,2018
특수임무유공자,국가보훈부의 정책적 기능의 한계,17.9,2018
특수임무유공자,각종 교육 홍보 상담 여건 미비,1.1,2018
특수임무유공자,현행 지원수준의 미흡,36.2,2018
특수임무유공자,기타,0,2018
국가유공자(본인),현행 지원 범위의 미흡,41.2,2021
국가유공자(본인),국가보훈부의 정책적 기능의 한계,11,2021
국가유공자(본인),각종 교육 홍보 상담 여건 미비,3.8,2021
국가유공자(본인),현행 지원수준의 미흡,43.5,2021
국가유공자(본인),기타,0.4,2021
국가유공자(유족),현행 지원 범위의 미흡,49.5,2021
국가유공자(유족),국가보훈부의 정책적 기능의 한계,7,2021
국가유공자(유족),각종 교육 홍보 상담 여건 미비,6.7,2021
국가유공자(유족),현행 지원수준의 미흡,36.6,2021
국가유공자(유족),기타,0.2,2021
참전유공자,현행 지원 범위의 미흡,44,2021
참전유공자,국가보훈부의 정책적 기능의 한계,6.5,2021
참전유공자,각종 교육 홍보 상담 여건 미비,2.6,2021
참전유공자,현행 지원수준의 미흡,46.8,2021
참전유공자,기타,0.1,2021
고엽제,현행 지원 범위의 미흡,42.8,2021
고엽제,국가보훈부의 정책적 기능의 한계,8.8,2021
고엽제,각종 교육 홍보 상담 여건 미비,1.4,2021
고엽제,현행 지원수준의 미흡,46.1,2021
고엽제,기타,1,2021
특수임무유공자,현행 지원 범위의 미흡,58,2021
특수임무유공자,국가보훈부의 정책적 기능의 한계,5.6,2021
특수임무유공자,각종 교육 홍보 상담 여건 미비,2.8,2021
특수임무유공자,현행 지원수준의 미흡,33.5,2021
특수임무유공자,기타,0,2021
국가유공자(본인),현행 지원 범위의 미흡,50.5,2024
국가유공자(본인),국가보훈부의 정책적 기능의 한계,10.1,2024
국가유공자(본인),각종 교육 홍보 상담 여건 미비,3.4,2024
국가유공자(본인),현행 지원수준의 미흡,35.7,2024
국가유공자(본인),기타,0.3,2024
국가유공자(유족),현행 지원 범위의 미흡,67.4,2024
국가유공자(유족),국가보훈부의 정책적 기능의 한계,6.8,2024
국가유공자(유족),각종 교육 홍보 상담 여건 미비,1.9,2024
국가유공자(유족),현행 지원수준의 미흡,24,2024
국가유공자(유족),기타,0,2024
참전유공자,현행 지원 범위의 미흡,54.9,2024
참전유공자,국가보훈부의 정책적 기능의 한계,9.9,2024
참전유공자,각종 교육 홍보 상담 여건 미비,1.1,2024
참전유공자,현행 지원수준의 미흡,33.9,2024
참전유공자,기타,0.2,2024
고엽제,현행 지원 범위의 미흡,62,2024
고엽제,국가보훈부의 정책적 기능의 한계,8.2,2024
고엽제,각종 교육 홍보 상담 여건 미비,1.3,2024
고엽제,현행 지원수준의 미흡,28.5,2024
고엽제,기타,0,2024
특수임무유공자,현행 지원 범위의 미흡,68,2024
특수임무유공자,국가보훈부의 정책적 기능의 한계,8.1,2024
특수임무유공자,각종 교육 홍보 상담 여건 미비,3.2,2024
특수임무유공자,현행 지원수준의 미흡,20.7,2024
특수임무유공자,기타,0,2024
