,C1_OBJ_NM,C2_NM,DT,C1_NM,UNIT_NM,C3_NM,ITM_ID,TBL_ID,ITM_NM,C3_OBJ_NM,C2_OBJ_NM,TBL_NM
0,특성별,1순위,10.3,전체,%,취업,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
1,특성별,1순위,4,전체,%,취업,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
2,특성별,1순위,3.7,전체,%,취업,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
3,특성별,1순위,2.3,전체,%,교육,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
4,특성별,1순위,1,전체,%,교육,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
5,특성별,1순위,1.7,전체,%,교육,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
6,특성별,1순위,28.1,전체,%,의료지원,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
7,특성별,1순위,16.9,전체,%,의료지원,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
8,특성별,1순위,14.3,전체,%,의료지원,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
9,특성별,1순위,6.6,전체,%,주거,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
10,특성별,1순위,44.2,전체,%,소득보장,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
11,특성별,1순위,1.5,전체,%,문화 및 여가,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
12,특성별,1순위,0.3,전체,%,사회적응,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
13,특성별,1순위,0.5,전체,%,사회적응,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
14,특성별,1순위,0.6,전체,%,사회적응,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
15,특성별,1순위,0.8,전체,%,법률지원,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
16,특성별,1순위,3.2,전체,%,보훈 문화 확산,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
17,특성별,1순위,0.3,전체,%,기타,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
18,특성별,1순위,0.9,전체,%,기타,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
19,특성별,1순위,1.4,전체,%,기타,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
20,특성별,1순위,63.8,전체,%,보훈급여금,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
21,특성별,1순위,66.6,전체,%,보훈급여금,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
22,특성별,1순위,1.5,전체,%,대부,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
23,특성별,1순위,1.2,전체,%,대부,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
24,특성별,1순위,5.2,전체,%,양로지원,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
25,특성별,1순위,3.6,전체,%,양로지원,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
26,특성별,1순위,0.8,전체,%,사망시 지원,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
27,특성별,1순위,0.5,전체,%,사망시 지원,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
28,특성별,1순위,2.9,전체,%,예우지원,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
29,특성별,1순위,3.9,전체,%,예우지원,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
30,특성별,1순위,2.4,전체,%,재가복지서비스,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
31,특성별,1순위,2.6,전체,%,재가복지서비스,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
32,특성별,2순위,5.9,전체,%,취업,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
33,특성별,2순위,5.6,전체,%,취업,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
34,특성별,2순위,6.1,전체,%,취업,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
35,특성별,2순위,3.3,전체,%,교육,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
36,특성별,2순위,3.6,전체,%,교육,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
37,특성별,2순위,3.4,전체,%,교육,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
38,특성별,2순위,31.5,전체,%,의료지원,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
39,특성별,2순위,40.8,전체,%,의료지원,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
40,특성별,2순위,46.9,전체,%,의료지원,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
41,특성별,2순위,13.4,전체,%,주거,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
42,특성별,2순위,28.8,전체,%,소득보장,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
43,특성별,2순위,5.2,전체,%,문화 및 여가,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
44,특성별,2순위,1.4,전체,%,사회적응,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
45,특성별,2순위,1.5,전체,%,사회적응,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
46,특성별,2순위,1,전체,%,사회적응,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
47,특성별,2순위,1.3,전체,%,법률지원,T001,DT_109006_M006,국가보훈처정책에서 우선적으로 확대되어야 할 분야,분야별,순위별,국가보훈부 정책에서 개선되어야 할 분야
