iter	RMSE
0	26.11982222
1	26.1197308
2	26.11965067
3	26.11956868
4	26.11948471
5	26.11940265
6	26.11931689
7	26.11923465
8	26.119154
9	26.11908527
10	26.11901452
11	26.11892676
12	26.11883575
13	26.11874691
14	26.11865281
15	26.1185819
16	26.11849401
17	26.1184234
18	26.11835104
19	26.11827602
20	26.11820945
21	26.11813263
22	26.11805793
23	26.11796822
24	26.11790412
25	26.11782049
26	26.11773691
27	26.11766912
28	26.11759351
29	26.11752031
30	26.11745305
31	26.11738392
32	26.11732865
33	26.11727347
34	26.11721263
35	26.1171516
36	26.11708293
37	26.11701516
38	26.11693921
39	26.11687568
40	26.11680695
41	26.11673323
42	26.11666228
43	26.11660431
44	26.11654422
45	26.11646751
46	26.11641188
47	26.11633532
48	26.1162776
49	26.11622977
50	26.11616617
51	26.1161153
52	26.11605967
53	26.11601541
54	26.1159377
55	26.11589134
56	26.11582529
57	26.11576845
58	26.11570889
59	26.11563174
60	26.11557658
61	26.11550747
62	26.11544779
63	26.11538775
64	26.11533766
65	26.11529002
66	26.11523786
67	26.1151838
68	26.11511648
69	26.11505187
70	26.1149968
71	26.11494922
72	26.11489838
73	26.11484859
74	26.11479605
75	26.11475388
76	26.11470283
77	26.11462919
78	26.11457082
79	26.1144971
80	26.11443742
81	26.1143972
82	26.11435407
83	26.11431328
84	26.11425651
85	26.11417415
86	26.1141179
87	26.11407657
88	26.11401814
89	26.11397518
90	26.11391261
91	26.11386134
92	26.11382379
93	26.1137744
94	26.11372842
95	26.11368081
96	26.11362906
97	26.11356455
98	26.11350485
99	26.11344833
100	26.11339648
101	26.11334784
102	26.11330283
103	26.11325537
104	26.11321249
105	26.1131728
106	26.11313159
107	26.11309923
108	26.11305698
109	26.11300914
110	26.11296218
111	26.11290985
112	26.11286208
113	26.11281317
114	26.11276745
115	26.11271555
116	26.11267468
117	26.11262736
118	26.11258557
119	26.11254274
120	26.11250101
121	26.11245339
122	26.11239346
123	26.11236282
124	26.11232456
125	26.11226906
126	26.11220917
127	26.11217178
128	26.11213999
129	26.11210733
130	26.11206867
131	26.11202525
132	26.11198654
133	26.1119536
134	26.1119163
135	26.11186498
136	26.11181629
137	26.11177702
138	26.1117414
139	26.11170164
140	26.11165062
141	26.11159904
142	26.11155055
143	26.11150438
144	26.11146641
145	26.11142486
146	26.11138625
147	26.11133683
148	26.11129648
149	26.11126406
150	26.11122344
151	26.11119095
152	26.11116071
153	26.11111592
154	26.11106962
155	26.11101867
156	26.11097568
157	26.11093272
158	26.11089287
159	26.11085376
160	26.11081805
161	26.11077796
162	26.11074399
163	26.11070559
164	26.11066861
165	26.11063445
166	26.11059972
167	26.11057519
168	26.11054625
169	26.11050525
170	26.11046559
171	26.11042207
172	26.11038359
173	26.11034584
174	26.11030714
175	26.11026667
176	26.11022759
177	26.11018995
178	26.11015377
179	26.11012474
180	26.1100977
181	26.11005578
182	26.11001064
183	26.1099681
184	26.10993269
185	26.10989932
186	26.10985715
187	26.10981198
188	26.10978366
189	26.1097583
190	26.10971419
191	26.10967513
192	26.10964488
193	26.10960129
194	26.10955235
195	26.10952755
196	26.10950003
197	26.10944716
198	26.10940282
199	26.10936334
200	26.1093313
201	26.10927758
202	26.10925305
203	26.10922294
204	26.1091881
205	26.10914166
206	26.1091114
207	26.10907394
208	26.10904035
209	26.10900024
210	26.10897122
211	26.10893654
212	26.10890468
213	26.10887307
214	26.1088433
215	26.10881216
216	26.10877519
217	26.10874003
218	26.1087016
219	26.10867052
220	26.10863905
221	26.1085995
222	26.10856777
223	26.10853111
224	26.10849662
225	26.10846133
226	26.10842788
227	26.1083852
228	26.10835053
229	26.10831425
230	26.10827404
231	26.10825418
232	26.10821302
233	26.10818119
234	26.10814149
235	26.10810949
236	26.10807298
237	26.10803874
238	26.1079916
239	26.10795986
240	26.10792784
241	26.10789596
242	26.10785938
243	26.10782859
244	26.10780328
245	26.10775234
246	26.10771362
247	26.10768846
248	26.10766561
249	26.10763664
250	26.10759752
251	26.10756251
252	26.1075303
253	26.10750182
254	26.10746698
255	26.10744658
256	26.10741183
257	26.10738486
258	26.10734867
259	26.1073184
260	26.10728978
261	26.10724803
262	26.10721479
263	26.10718182
264	26.10714979
265	26.10711821
266	26.10708949
267	26.1070614
268	26.10703721
269	26.10699633
270	26.10696538
271	26.10692878
272	26.10689919
273	26.10686484
274	26.10681842
275	26.10678645
276	26.10675096
277	26.10672245
278	26.10668667
279	26.10666037
280	26.10662665
281	26.10657516
282	26.10654178
283	26.10651153
284	26.10648543
285	26.10646559
286	26.10642969
287	26.10639572
288	26.10636098
289	26.10632424
290	26.10629302
291	26.10626534
292	26.10623526
293	26.10619885
294	26.10616819
295	26.1061268
296	26.1060976
297	26.1060703
298	26.10602625
299	26.10598407
300	26.10595228
301	26.10592219
302	26.10589394
303	26.10587211
304	26.10584018
305	26.10580366
306	26.10577501
307	26.10573851
308	26.10570364
309	26.10567258
310	26.10563605
311	26.10560391
312	26.1055791
313	26.10554959
314	26.1055131
315	26.10548527
316	26.10545368
317	26.105412
318	26.10538551
319	26.10535595
320	26.10532782
321	26.10529533
322	26.10525898
323	26.10523058
324	26.1052007
325	26.10517445
326	26.10514623
327	26.10512092
328	26.10509012
