iter	Passed	Remaining
0	203	203184
1	257	128497
2	318	105937
3	380	94678
4	442	88071
5	505	83693
6	566	80359
7	622	77209
8	691	76177
9	753	74621
10	818	73586
11	881	72593
12	940	71415
13	999	70384
14	1054	69267
15	1109	68236
16	1161	67140
17	1215	66331
18	1277	65959
19	1329	65142
20	1386	64642
21	1439	64002
22	1502	63805
23	1556	63288
24	1609	62762
25	1663	62301
26	1720	61997
27	1773	61560
28	1828	61221
29	1883	60901
30	1939	60618
31	1994	60321
32	2052	60141
33	2105	59819
34	2166	59721
35	2217	59373
36	2271	59126
37	2325	58878
38	2379	58632
39	2437	58499
40	2493	58321
41	2547	58117
42	2604	57968
43	2659	57791
44	2712	57563
45	2771	57474
46	2830	57389
47	2887	57274
48	2944	57141
49	3003	57066
50	3060	56946
51	3116	56819
52	3175	56734
53	3227	56539
54	3282	56393
55	3345	56401
56	3409	56410
57	3466	56297
58	3534	56369
59	3599	56385
60	3658	56322
61	3713	56185
62	3773	56116
63	3826	55966
64	3884	55878
65	3947	55856
66	4004	55766
67	4068	55764
68	4132	55762
69	4186	55626
70	4252	55647
71	4315	55620
72	4374	55550
73	4429	55434
74	4486	55328
75	4539	55189
76	4592	55046
77	4645	54910
78	4697	54769
79	4753	54663
80	4810	54584
81	4863	54451
82	4912	54276
83	4966	54154
84	5015	53987
85	5068	53868
86	5123	53766
87	5175	53639
88	5234	53581
89	5298	53572
90	5370	53647
91	5418	53482
92	5467	53318
93	5516	53166
94	5568	53045
95	5616	52893
96	5674	52821
97	5727	52720
98	5781	52619
99	5837	52537
100	5890	52433
101	5942	52320
102	5995	52217
103	6049	52122
104	6103	52028
105	6156	51923
106	6205	51787
107	6258	51692
108	6311	51594
109	6362	51477
110	6412	51356
111	6462	51236
112	6516	51149
113	6563	51011
114	6620	50950
115	6677	50884
116	6725	50759
117	6774	50639
118	6822	50506
119	6871	50392
120	6923	50295
121	6974	50191
122	7024	50082
123	7079	50010
124	7131	49922
125	7182	49818
126	7234	49729
127	7282	49609
128	7330	49496
129	7396	49501
130	7445	49393
131	7501	49328
132	7552	49233
133	7600	49118
134	7653	49039
135	7713	49003
136	7764	48910
137	7817	48828
138	7868	48739
139	7918	48639
140	7975	48589
141	8029	48516
142	8081	48434
143	8127	48313
144	8182	48249
145	8236	48178
146	8288	48095
147	8340	48016
148	8391	47928
149	8436	47807
150	8481	47685
151	8537	47629
152	8584	47522
153	8630	47413
154	8679	47316
155	8727	47219
156	8781	47154
157	8836	47090
158	8889	47017
159	8938	46926
160	8990	46850
161	9043	46779
162	9094	46697
163	9146	46624
164	9201	46566
165	9250	46474
166	9305	46415
167	9352	46315
168	9403	46236
169	9460	46188
170	9512	46118
171	9571	46074
172	9622	45999
173	9670	45908
174	9723	45837
175	9775	45768
176	9823	45675
177	9873	45595
178	9924	45517
179	9976	45447
180	10026	45370
181	10074	45278
182	10126	45209
183	10179	45144
184	10224	45042
185	10270	44947
186	10319	44863
187	10371	44796
188	10419	44709
189	10475	44659
190	10528	44596
191	10584	44541
192	10641	44495
193	10699	44453
194	10752	44389
195	10808	44335
196	10857	44256
197	10910	44192
198	10961	44119
199	11009	44039
200	11058	43958
201	11107	43880
202	11161	43822
203	11220	43782
204	11270	43709
205	11323	43646
206	11372	43569
207	11422	43491
208	11479	43445
209	11532	43385
210	11581	43307
211	11631	43232
212	11680	43159
213	11742	43127
214	11802	43092
215	11849	43008
216	11895	42923
217	11945	42851
218	11998	42790
219	12046	42709
220	12097	42643
221	12155	42597
222	12206	42530
223	12260	42473
224	12320	42438
225	12376	42387
226	12441	42365
227	12507	42351
228	12560	42289
229	12611	42219
230	12671	42182
231	12721	42111
232	12777	42060
233	12847	42057
234	12903	42006
235	12954	41935
236	13009	41883
237	13066	41835
238	13127	41799
239	13192	41774
240	13248	41724
241	13307	41682
242	13367	41644
243	13418	41574
244	13465	41495
245	13519	41439
246	13567	41360
247	13622	41307
248	13683	41268
249	13741	41224
250	13808	41204
251	13882	41208
252	13952	41194
253	14006	41135
254	14060	41079
255	14110	41007
256	14171	40971
257	14220	40897
258	14269	40824
259	14326	40774
260	14373	40696
261	14423	40627
262	14477	40569
263	14530	40510
264	14586	40457
265	14646	40416
266	14696	40345
267	14750	40288
268	14799	40216
269	14854	40161
270	14913	40118
271	14970	40067
272	15022	40004
273	15075	39943
274	15130	39888
275	15182	39825
276	15235	39767
277	15291	39713
278	15342	39648
279	15397	39593
280	15448	39527
281	15499	39462
282	15554	39408
283	15609	39352
284	15665	39300
285	15726	39261
286	15787	39220
287	15843	39168
288	15897	39112
289	15955	39063
290	16012	39013
291	16067	38957
292	16115	38885
293	16164	38817
294	16221	38766
295	16283	38729
296	16347	38694
297	16398	38630
298	16450	38568
299	16504	38510
300	16550	38434
301	16606	38382
302	16657	38316
303	16705	38246
304	16752	38173
305	16800	38102
306	16858	38055
307	16910	37994
308	16958	37923
309	17010	37862
310	17073	37825
311	17133	37782
312	17182	37712
313	17234	37651
314	17295	37610
315	17348	37552
316	17402	37495
317	17463	37452
318	17517	37396
319	17570	37337
320	17617	37265
321	17664	37193
322	17715	37130
323	17768	37073
324	17817	37006
325	17861	36929
326	17913	36867
327	17971	36820
328	18020	36753
329	18072	36692
330	18133	36651
331	18186	36592
332	18243	36542
333	18304	36499
334	18352	36431
335	18410	36383
336	18472	36342
337	18527	36288
338	18584	36237
339	18641	36186
340	18696	36131
341	18752	36079
342	18806	36023
343	18861	35968
344	18912	35906
345	18966	35849
346	19023	35798
347	19076	35741
348	19136	35695
349	19194	35647
350	19244	35583
351	19302	35534
352	19356	35478
353	19406	35413
354	19459	35356
355	19511	35296
356	19564	35238
357	19612	35170
358	19658	35101
359	19710	35040
360	19762	34982
361	19823	34937
362	19869	34866
363	19919	34804
364	19969	34741
365	20023	34685
366	20080	34634
367	20133	34577
368	20184	34516
369	20234	34452
370	20284	34390
371	20340	34338
372	20388	34272
373	20450	34230
374	20501	34168
375	20545	34096
376	20603	34048
377	20651	33982
378	20705	33926
379	20753	33860
380	20808	33807
381	20857	33743
382	20909	33684
383	20961	33625
384	21022	33581
385	21082	33534
386	21136	33480
387	21194	33429
388	21240	33361
389	21295	33308
390	21345	33246
391	21399	33191
392	21450	33131
393	21513	33088
394	21573	33042
395	21624	32982
396	21686	32939
397	21738	32881
398	21787	32818
399	21832	32749
400	21884	32690
401	21944	32643
402	21996	32585
403	22057	32539
404	22108	32481
405	22170	32435
406	22226	32384
407	22284	32334
408	22345	32288
409	22396	32229
410	22454	32179
411	22509	32124
412	22567	32075
413	22619	32016
414	22673	31961
415	22738	31921
416	22791	31864
417	22851	31817
418	22912	31771
419	22962	31710
420	23019	31659
421	23078	31609
422	23128	31549
423	23182	31493
424	23232	31432
425	23283	31373
426	23337	31317
427	23385	31252
428	23433	31189
429	23492	31141
430	23542	31080
431	23594	31022
432	23649	30968
433	23704	30914
434	23754	30853
435	23805	30794
436	23865	30746
437	23923	30696
438	23974	30636
439	24028	30581
440	24095	30542
441	24145	30481
442	24201	30429
443	24255	30373
444	24308	30317
445	24362	30262
446	24409	30197
447	24462	30141
448	24507	30074
449	24556	30013
450	24617	29967
451	24667	29906
452	24715	29843
453	24768	29788
454	24824	29734
455	24881	29682
456	24933	29625
457	24985	29568
458	25041	29514
459	25096	29460
460	25144	29399
461	25202	29348
462	25255	29291
463	25304	29231
464	25360	29178
465	25410	29118
466	25464	29063
467	25524	29014
468	25574	28955
469	25622	28893
470	25669	28830
471	25711	28761
472	25774	28717
473	25836	28671
474	25888	28613
475	25947	28563
476	25999	28506
477	26048	28445
478	26096	28384
479	26151	28330
480	26198	28268
481	26253	28214
482	26314	28167
483	26362	28105
484	26412	28046
485	26464	27989
486	26512	27927
487	26565	27871
488	26614	27811
489	26668	27757
490	26718	27698
491	26770	27641
492	26819	27581
493	26874	27527
494	26923	27467
495	26990	27425
496	27038	27364
497	27087	27304
498	27141	27250
499	27190	27190
500	27244	27135
501	27301	27084
502	27355	27029
503	27409	26974
504	27458	26914
505	27513	26860
506	27567	26806
507	27618	26749
508	27673	26694
509	27720	26633
510	27775	26579
511	27829	26524
512	27879	26466
513	27925	26404
514	27987	26357
515	28043	26304
516	28104	26256
517	28160	26203
518	28210	26145
519	28264	26089
520	28319	26036
521	28367	25975
522	28428	25928
523	28486	25877
524	28534	25817
525	28591	25764
526	28650	25714
527	28698	25655
528	28751	25599
529	28806	25545
530	28850	25481
531	28899	25422
532	28950	25365
533	29001	25308
534	29051	25250
535	29104	25194
536	29155	25137
537	29210	25084
538	29267	25032
539	29320	24976
540	29370	24918
541	29417	24858
542	29476	24807
543	29535	24757
544	29589	24703
545	29646	24651
546	29698	24594
547	29755	24543
548	29806	24486
549	29860	24431
550	29907	24371
551	29960	24316
552	30015	24262
553	30068	24206
554	30123	24153
555	30175	24097
556	30222	24037
557	30282	23987
558	30341	23936
559	30397	23883
560	30449	23827
561	30500	23770
562	30552	23714
563	30598	23653
564	30654	23601
565	30702	23542
566	30756	23487
567	30806	23430
568	30853	23370
569	30907	23316
570	30961	23261
571	31010	23203
572	31060	23146
573	31117	23093
574	31177	23044
575	31236	22993
576	31286	22936
577	31337	22879
578	31393	22826
579	31453	22776
580	31502	22718
581	31555	22663
582	31606	22606
583	31655	22548
584	31715	22499
585	31776	22449
586	31837	22400
587	31887	22343
588	31938	22286
589	31988	22229
590	32033	22168
591	32085	22113
592	32131	22053
593	32179	21994
594	32227	21936
595	32276	21878
596	32325	21820
597	32384	21770
598	32437	21715
599	32489	21659
600	32544	21605
601	32599	21552
602	32650	21495
603	32697	21437
604	32755	21385
605	32808	21330
606	32858	21273
607	32907	21216
608	32960	21162
609	33008	21103
610	33061	21048
611	33110	20991
612	33171	20941
613	33226	20888
614	33287	20838
615	33337	20781
616	33388	20725
617	33442	20671
618	33503	20621
619	33559	20568
620	33606	20510
621	33653	20451
622	33709	20398
623	33757	20340
624	33815	20289
625	33865	20232
626	33918	20177
627	33965	20119
628	34013	20061
629	34061	20004
630	34113	19949
631	34169	19896
632	34218	19839
633	34265	19781
634	34323	19728
635	34373	19672
636	34430	19620
637	34481	19564
638	34529	19507
639	34578	19450
640	34638	19399
641	34693	19346
642	34751	19294
643	34803	19239
644	34852	19182
645	34908	19129
646	34955	19071
647	35004	19014
648	35058	18960
649	35114	18907
650	35162	18850
651	35214	18795
652	35263	18739
653	35314	18683
654	35364	18627
655	35419	18573
656	35466	18515
657	35519	18461
658	35570	18406
659	35630	18355
660	35675	18296
661	35729	18242
662	35782	18188
663	35829	18130
664	35881	18075
665	35937	18022
666	35993	17969
667	36043	17913
668	36100	17861
669	36159	17810
670	36210	17754
671	36258	17697
672	36306	17640
673	36355	17584
674	36405	17528
675	36451	17470
676	36505	17416
677	36561	17364
678	36613	17309
679	36664	17253
680	36713	17197
681	36765	17142
682	36822	17090
683	36878	17037
684	36929	16982
685	36981	16927
686	37031	16871
687	37084	16817
688	37132	16760
689	37184	16705
690	37235	16651
691	37296	16600
692	37353	16547
693	37410	16494
694	37465	16441
695	37516	16386
696	37573	16334
697	37625	16279
698	37678	16224
699	37722	16166
700	37766	16108
701	37813	16051
702	37862	15995
703	37910	15939
704	37964	15886
705	38014	15830
706	38061	15773
707	38114	15719
708	38166	15665
709	38213	15608
710	38268	15554
711	38326	15502
712	38379	15448
713	38438	15396
714	38501	15346
715	38556	15293
716	38602	15236
717	38654	15182
718	38703	15126
719	38755	15071
720	38806	15016
721	38858	14961
722	38915	14909
723	38977	14858
724	39024	14802
725	39079	14749
726	39135	14696
727	39186	14641
728	39232	14584
729	39288	14531
730	39337	14475
731	39395	14423
732	39442	14367
733	39498	14314
734	39554	14261
735	39618	14210
736	39679	14159
737	39735	14106
738	39788	14052
739	39845	13999
740	39897	13945
741	39944	13888
742	39992	13833
743	40053	13781
744	40113	13730
745	40165	13675
746	40220	13622
747	40284	13571
748	40341	13518
749	40395	13465
750	40447	13410
751	40505	13358
752	40563	13305
753	40612	13250
754	40661	13194
755	40716	13141
756	40771	13087
757	40823	13033
758	40879	12980
759	40938	12927
760	40994	12874
761	41046	12820
762	41109	12769
763	41175	12719
764	41223	12663
765	41274	12608
766	41327	12554
767	41390	12503
768	41444	12449
769	41504	12397
770	41567	12346
771	41617	12291
772	41672	12237
773	41721	12182
774	41779	12129
775	41831	12075
776	41893	12023
777	41946	11969
778	41994	11913
779	42041	11857
780	42089	11802
781	42137	11746
782	42198	11694
783	42255	11641
784	42299	11585
785	42352	11531
786	42410	11478
787	42457	11422
788	42502	11366
789	42560	11313
790	42609	11258
791	42657	11203
792	42712	11149
793	42768	11096
794	42831	11044
795	42882	10989
796	42930	10934
797	42988	10881
798	43043	10828
799	43098	10774
800	43150	10720
801	43206	10666
802	43258	10612
803	43307	10557
804	43360	10503
805	43409	10448
806	43461	10394
807	43508	10338
808	43558	10283
809	43614	10230
810	43672	10177
811	43724	10123
